iter	Passed	Remaining
0	11	225
1	23	212
2	35	199
3	45	181
4	55	165
5	65	152
6	75	139
7	84	127
8	94	115
9	104	104
10	114	93
11	123	82
12	134	72
13	143	61
14	153	51
15	164	41
16	173	30
17	192	21
18	202	10
19	212	0
